CohortMonth,CohortIndex,ActiveCustomers,InitialCustomers,RetentionRate
2011-01-01,0,741,741,1.0
2011-01-01,1,262,741,0.3536
2011-01-01,2,319,741,0.4305
2011-01-01,3,284,741,0.3833
2011-01-01,4,339,741,0.4575
2011-01-01,5,311,741,0.4197
2011-02-01,0,496,496,1.0
2011-02-01,1,116,496,0.2339
2011-02-01,2,123,496,0.248
2011-02-01,3,169,496,0.3407
2011-02-01,4,155,496,0.3125
2011-03-01,0,539,539,1.0
2011-03-01,1,88,539,0.1633
2011-03-01,2,144,539,0.2672
2011-03-01,3,120,539,0.2226
2011-04-01,0,361,361,1.0
2011-04-01,1,85,361,0.2355
2011-04-01,2,79,361,0.2188
2011-05-01,0,319,319,1.0
2011-05-01,1,58,319,0.1818
2011-06-01,0,268,268,1.0
