CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
12346,164,1,77183.6,1,1,5,115,Hibernating
12347,22,3,1494.16,4,4,5,445,Loyal Customers
12348,87,2,594.44,2,3,3,233,At-Risk
12350,149,1,334.4,1,1,2,112,Hibernating
12352,101,5,1561.81,2,5,5,255,Cannot Lose Them
12353,43,1,89.0,3,1,1,311,About to Sleep
12354,71,1,1079.4,2,1,4,214,Hibernating
12355,53,1,459.4,3,1,3,313,About to Sleep
12356,84,2,2753.08,2,3,5,235,At-Risk
12359,28,3,3495.73,4,4,5,445,Loyal Customers
12360,39,1,1083.58,3,1,4,314,About to Sleep
12361,126,1,189.9,1,1,1,111,Hibernating
12362,64,2,974.34,2,3,4,234,At-Risk
12363,81,1,299.1,2,1,2,212,Hibernating
12365,130,2,641.38,1,3,3,133,At-Risk
12370,113,1,938.39,1,1,4,114,Hibernating
12372,51,2,914.92,3,3,4,334,Need Attention
12373,150,1,364.6,1,1,3,113,Hibernating
12377,154,1,626.6,1,1,3,113,Hibernating
12379,9,1,459.84,5,1,3,513,New Customers
12380,24,1,607.55,4,1,3,413,Promising
12383,23,4,1249.84,4,5,4,454,Loyal Customers
12386,176,1,143.0,1,1,1,111,Hibernating
12388,114,3,766.25,1,4,4,144,At-Risk
12393,84,3,1061.1,2,4,4,244,At-Risk
12394,56,1,381.08,3,1,3,313,About to Sleep
12395,1,5,1053.7,5,5,4,554,Champions
12399,22,3,899.03,4,4,4,444,Loyal Customers
12401,142,1,84.3,1,1,1,111,Hibernating
12402,162,1,225.6,1,1,2,112,Hibernating
12406,22,1,1621.25,4,1,5,415,Promising
12407,74,2,495.96,2,3,3,233,At-Risk
12408,14,3,1491.77,5,4,5,545,Champions
12409,21,1,6207.08,4,1,5,415,Promising
12410,147,2,693.33,1,3,4,134,At-Risk
12412,8,1,514.5,5,1,3,513,New Customers
12413,75,2,563.9,2,3,3,233,At-Risk
12414,56,3,562.41,3,4,3,343,Loyal Customers
12415,16,9,74310.71,5,5,5,555,Champions
12417,26,4,1606.93,4,5,5,455,Loyal Customers
12421,12,2,396.8,5,3,3,533,Potential Loyalists
12422,7,2,655.86,5,3,3,533,Potential Loyalists
12423,30,5,1213.76,4,5,4,454,Loyal Customers
12424,1,2,1760.96,5,3,5,535,Potential Loyalists
12426,33,1,582.73,4,1,3,413,Promising
12428,81,6,6310.54,2,5,5,255,Cannot Lose Them
12429,11,2,1563.38,5,3,5,535,Potential Loyalists
12431,39,5,2384.58,3,5,5,355,Loyal Customers
12432,9,3,4016.66,5,4,5,545,Champions
12434,99,1,286.25,2,1,2,212,Hibernating
12435,106,1,3978.99,2,1,5,215,Hibernating
12437,16,9,2476.73,5,5,5,555,Champions
12444,10,1,1870.2,5,1,5,515,New Customers
12447,82,1,476.49,2,1,3,213,Hibernating
12449,26,1,858.93,4,1,4,414,Promising
12450,12,1,101.88,5,1,1,511,New Customers
12451,57,2,5307.82,3,3,5,335,Need Attention
12455,28,3,1963.3,4,4,5,445,Loyal Customers
12456,93,1,940.17,2,1,4,214,Hibernating
12457,72,3,1067.25,2,4,4,244,At-Risk
12458,123,1,441.92,1,1,3,113,Hibernating
12462,142,1,762.11,1,1,4,114,Hibernating
12463,14,3,985.79,5,4,4,544,Champions
12464,39,4,544.85,3,5,3,353,Loyal Customers
12465,8,1,440.94,5,1,3,513,New Customers
12468,26,2,729.54,4,3,4,434,Potential Loyalists
12471,49,9,4522.96,3,5,5,355,Loyal Customers
12472,18,3,2684.2,4,4,5,445,Loyal Customers
12473,30,1,672.19,4,1,4,414,Promising
12474,5,10,3191.14,5,5,5,555,Champions
12476,57,4,2432.65,3,5,5,355,Loyal Customers
12477,78,2,4576.97,2,3,5,235,At-Risk
12480,106,2,1587.27,2,3,5,235,At-Risk
12481,18,6,3310.42,4,5,5,455,Loyal Customers
12483,22,5,1314.61,4,5,5,455,Loyal Customers
12484,15,2,2276.66,5,3,5,535,Potential Loyalists
12489,175,1,334.93,1,1,2,112,Hibernating
12490,11,3,1679.78,5,4,5,545,Champions
12493,4,2,433.74,5,3,3,533,Potential Loyalists
12494,35,2,653.09,4,3,3,433,Potential Loyalists
12500,7,5,1395.84,5,5,5,555,Champions
12501,175,1,2169.39,1,1,5,115,Hibernating
12502,56,3,1842.65,3,4,5,345,Loyal Customers
12506,71,1,73.5,2,1,1,211,Hibernating
12507,137,1,446.16,1,1,3,113,Hibernating
12509,123,1,176.5,1,1,1,111,Hibernating
12510,164,1,681.05,1,1,4,114,Hibernating
12514,106,1,1017.68,2,1,4,214,Hibernating
12516,19,1,583.2,4,1,3,413,Promising
12517,29,1,766.95,4,1,4,414,Promising
12520,43,3,1697.56,3,4,5,345,Loyal Customers
12523,91,4,500.19,2,5,3,253,Cannot Lose Them
12524,1,6,3122.48,5,5,5,555,Champions
12527,133,2,284.92,1,3,2,132,At-Risk
12528,115,2,771.66,1,3,4,134,At-Risk
12530,72,2,805.0,2,3,4,234,At-Risk
12535,25,1,371.45,4,1,3,413,Promising
12539,101,3,4517.69,2,4,5,245,At-Risk
12540,25,6,5621.51,4,5,5,455,Loyal Customers
12541,12,2,536.14,5,3,3,533,Potential Loyalists
12545,98,1,628.15,2,1,3,213,Hibernating
12547,36,2,207.8,4,3,2,432,Potential Loyalists
12548,5,1,95.2,5,1,1,511,New Customers
12553,43,5,1734.62,3,5,5,355,Loyal Customers
12557,95,2,4234.62,2,3,5,235,At-Risk
12559,149,2,561.71,1,3,3,133,At-Risk
12561,141,1,238.85,1,1,2,112,Hibernating
12562,15,2,955.23,5,3,4,534,Potential Loyalists
12564,100,1,456.9,2,1,3,213,Hibernating
12565,127,1,145.92,1,1,1,111,Hibernating
12567,18,5,4164.72,4,5,5,455,Loyal Customers
12569,1,7,1401.74,5,5,5,555,Champions
12573,66,1,160.54,2,1,1,211,Hibernating
12574,154,1,218.45,1,1,2,112,Hibernating
12576,57,2,421.65,3,3,3,333,Need Attention
12578,169,1,1608.66,1,1,5,115,Hibernating
12580,85,1,415.7,2,1,3,213,Hibernating
12582,77,2,511.36,2,3,3,233,At-Risk
12583,10,6,2804.01,5,5,5,555,Champions
12584,24,2,622.74,4,3,3,433,Potential Loyalists
12585,73,1,777.25,2,1,4,214,Hibernating
12590,50,2,9864.26,3,3,5,335,Need Attention
12591,156,1,452.85,1,1,3,113,Hibernating
12592,52,1,231.8,3,1,2,312,About to Sleep
12593,57,1,236.0,3,1,2,312,About to Sleep
12594,22,7,1807.95,4,5,5,455,Loyal Customers
12596,81,1,269.95,2,1,2,212,Hibernating
12597,22,2,1428.81,4,3,5,435,Potential Loyalists
12598,59,3,1285.74,3,4,4,344,Loyal Customers
12599,3,4,598.14,5,5,3,553,Champions
12600,43,4,1041.16,3,5,4,354,Loyal Customers
12601,28,5,577.06,4,5,3,453,Loyal Customers
12604,100,1,178.5,2,1,1,211,Hibernating
12609,25,2,800.73,4,3,4,434,Potential Loyalists
12613,36,4,1462.52,4,5,5,455,Loyal Customers
12614,116,1,315.6,1,1,2,112,Hibernating
12615,7,1,634.74,5,1,3,513,New Customers
12616,136,1,255.6,1,1,2,112,Hibernating
12619,73,2,631.66,2,3,3,233,At-Risk
12620,43,1,561.66,3,1,3,313,About to Sleep
12621,15,10,6655.52,5,5,5,555,Champions
12622,71,1,180.1,2,1,1,211,Hibernating
12623,115,1,305.1,1,1,2,112,Hibernating
12624,16,1,299.94,5,1,2,512,New Customers
12625,50,2,2683.82,3,3,5,335,Need Attention
12626,1,3,2088.84,5,4,5,545,Champions
12633,35,2,1729.55,4,3,5,435,Potential Loyalists
12637,78,4,2391.75,2,5,5,255,Cannot Lose Them
12639,77,1,486.1,2,1,3,213,Hibernating
12643,11,5,2142.42,5,5,5,555,Champions
12645,58,2,798.9,3,3,4,334,Need Attention
12647,38,3,1108.71,3,4,4,344,Loyal Customers
12649,51,1,375.0,3,1,3,313,About to Sleep
12651,173,1,114.0,1,1,1,111,Hibernating
12652,170,1,919.98,1,1,4,114,Hibernating
12653,135,1,779.1,1,1,4,114,Hibernating
12654,36,3,337.75,4,4,2,442,Loyal Customers
12656,42,2,1659.6,3,3,5,335,Need Attention
12662,26,4,1576.6,4,5,5,455,Loyal Customers
12664,71,2,1303.58,2,3,4,234,At-Risk
12665,163,1,63.0,1,1,1,111,Hibernating
12668,98,2,2454.6,2,3,5,235,At-Risk
12669,87,2,2272.6,2,3,5,235,At-Risk
12670,38,2,1026.39,3,3,4,334,Need Attention
12672,168,1,225.9,1,1,2,112,Hibernating
12673,165,1,220.9,1,1,2,112,Hibernating
12674,9,2,976.8,5,3,4,534,Potential Loyalists
12676,29,3,828.95,4,4,4,444,Loyal Customers
12678,26,4,5670.08,4,5,5,455,Loyal Customers
12679,44,2,906.38,3,3,4,334,Need Attention
12681,26,11,6636.73,4,5,5,455,Loyal Customers
12682,16,11,4987.09,5,5,5,555,Champions
12683,23,8,4023.85,4,5,5,455,Loyal Customers
12684,9,4,1379.48,5,5,5,555,Champions
12690,44,1,389.01,3,1,3,313,About to Sleep
12691,157,2,226.2,1,3,2,132,At-Risk
12693,50,3,630.77,3,4,3,343,Loyal Customers
12694,22,1,439.5,4,1,3,413,Promising
12695,49,1,89.25,3,1,1,311,About to Sleep
12697,8,1,390.5,5,1,3,513,New Customers
12700,54,1,1092.43,3,1,4,314,About to Sleep
12701,81,1,337.08,2,1,2,212,Hibernating
12704,8,1,329.56,5,1,2,512,New Customers
